gene,ensembl_id,token_coverage,n_cells_with_token,is_signal_pathway,n_ko_cells
S100A6,ENSG00000197956,1.0,300,False,648
NACA,ENSG00000196531,0.9967,299,False,95
FTH1,ENSG00000167996,0.9967,299,False,126
TIMP1,ENSG00000102265,0.9933,298,False,615
UBC,ENSG00000150991,0.9933,298,False,226
CD63,ENSG00000135404,0.9933,298,False,864
PSMA7,ENSG00000101182,0.99,297,False,28
RPSA,ENSG00000168028,0.99,297,False,331
PTMA,ENSG00000187514,0.99,297,False,635
CHCHD2,ENSG00000106153,0.9867,296,False,1016
PPIA,ENSG00000196262,0.9867,296,False,603
RACK1,ENSG00000204628,0.9867,296,False,36
UBA52,ENSG00000221983,0.9867,296,False,42
NCL,ENSG00000115053,0.9833,295,False,165
CCT6A,ENSG00000146731,0.9833,295,False,56
UQCRH,ENSG00000173660,0.98,294,False,216
PFN1,ENSG00000108518,0.98,294,False,331
NME1,ENSG00000239672,0.9733,292,False,625
SNRPE,ENSG00000182004,0.9733,292,False,42
CCT3,ENSG00000163468,0.97,291,False,190
SET,ENSG00000119335,0.97,291,False,485
SLIRP,ENSG00000119705,0.97,291,False,448
CCND1,ENSG00000110092,0.9667,290,False,643
MT2A,ENSG00000125148,0.9667,290,False,539
CD44,ENSG00000026508,0.9633,289,False,1193
C1QBP,ENSG00000108561,0.96,288,False,673
SNRPF,ENSG00000139343,0.96,288,False,37
LGALS3,ENSG00000131981,0.9567,287,False,646
SNRPG,ENSG00000143977,0.95,285,False,83
CTSL,ENSG00000135047,0.9467,284,False,923
UBL5,ENSG00000198258,0.9433,283,False,18
SERPINE2,ENSG00000135919,0.94,282,False,558
PABPC1,ENSG00000070756,0.94,282,False,226
EIF4A1,ENSG00000161960,0.94,282,False,133
SSR2,ENSG00000163479,0.94,282,False,455
JPT1,ENSG00000189159,0.9367,281,False,533
ILF2,ENSG00000143621,0.9233,277,False,169
UQCRFS1,ENSG00000169021,0.9167,275,False,299
CST3,ENSG00000101439,0.9167,275,False,690
HNRNPA1,ENSG00000135486,0.9033,271,False,659
ITGA3,ENSG00000005884,0.8967,269,False,769
LRPAP1,ENSG00000163956,0.8967,269,False,795
HNRNPC,ENSG00000092199,0.8967,269,False,218
VDAC2,ENSG00000165637,0.89,267,False,595
NPC2,ENSG00000119655,0.89,267,False,724
PFDN4,ENSG00000101132,0.8833,265,False,718
TIMP2,ENSG00000035862,0.8767,263,False,466
TXNDC17,ENSG00000129235,0.87,261,False,498
MDH2,ENSG00000146701,0.8567,257,False,585
LGALS3BP,ENSG00000108679,0.8533,256,False,647
CTSB,ENSG00000164733,0.8467,254,False,1086
AHNAK,ENSG00000124942,0.8467,254,False,1058
PPA1,ENSG00000180817,0.8333,250,False,121
PRELID3B,ENSG00000101166,0.83,249,False,100
CD59,ENSG00000085063,0.83,249,False,1238
ROMO1,ENSG00000125995,0.83,249,False,151
PAICS,ENSG00000128050,0.8267,248,False,229
FKBP4,ENSG00000004478,0.8233,247,False,690
MRPL47,ENSG00000136522,0.8233,247,False,392
CDKN2A,ENSG00000147889,0.8233,247,True,888
